id,prompt,responseA,responseB,category,isGold,goldAnswer
bank-en-001,My balance hasn't updated yet — it's been 2 hours since I transferred the money.,"Transfer delays of up to 24 hours are normal depending on the bank and transfer type. Refresh your account and check again later. If unresolved after 24 hours, contact the sending and receiving bank with your transaction reference.","Two hours is within normal range — most inter-bank transfers settle within 24 hours, sometimes less. The worst thing you can do is initiate the transfer again, as you risk a duplicate send. Give it until the end of the day and refresh. If it's still not there tomorrow morning, that's when you contact both banks with your transaction reference number and proof of deduction.",banking,False,
bank-en-002,I applied for a credit card 3 weeks ago and haven't heard anything. Was I denied?,"Credit card applications typically take 2-3 weeks for evaluation. Please check your email and the app for status updates. If there's nothing, you may contact customer service for a follow-up.","No news doesn't mean bad news! Evaluations can take 3-4 weeks. Check your email (including spam) for updates, and if nothing shows by next week, give us a call.",banking,False,
bank-en-003,My account got locked and I'm not receiving the OTP to reset it. Help!,"Account lockouts occur after repeated failed login attempts. Reset your password using the email link — avoid SMS OTP if you're not receiving it. If email-based reset also fails, contact support directly for manual identity verification.","That combination — locked out AND not getting OTPs — usually means you'll need to go through account recovery rather than standard reset. Try the 'Forgot Password' flow using your email instead of phone number. If your email is also inaccessible, most banks have an identity verification process where you answer security questions or provide ID to regain access. It takes a bit longer but it's designed exactly for this situation.",banking,False,
bank-en-004,I deposited cash at the ATM this morning but it's not showing in my account. Is this normal?,"ATM cash deposits have a 1-2 business day clearing period. Keep your ATM deposit slip as proof. If not reflected within 2 business days, visit the branch with the slip and transaction reference for investigation.","Totally normal — ATM cash deposits don't post instantly like electronic transfers. There's a 1-2 business day clearing period while the bank verifies the physical cash. Hold onto your ATM deposit slip — it has the reference number you'll need if something goes wrong. If it still hasn't appeared by the next business day, take that slip to the branch and they can trace the transaction.",banking,False,
bank-en-005,My card keeps getting declined even though I know I have enough money in my account.,"Common reasons for unexpected declines: daily transaction limits reached, online/international transactions not enabled, or a temporary security flag. Check the app for any alerts, and verify your card settings under account preferences.","A few things to check before assuming it's a balance issue: your card might have a daily spend limit that's been hit, or online/international transactions might be disabled in your settings (banks sometimes default to this for security). Open your app and look for card controls or settings — you can often toggle these on yourself. If the settings look fine and it's still failing, call the bank; they can see if there's a security flag on your account.",banking,True,B
bank-en-006,I was charged twice for the same purchase. How do I get my money back?,File a transaction dispute: screenshot both charges from your statement → contact support within 30 days → quote transaction amounts and dates. Resolution typically takes 5-10 business days.,"Double charges happen more than they should! Get screenshots of both transactions from your bank statement or app — you need the exact amounts, dates, and merchant names. Contact support and use the word 'duplicate charge' specifically so it gets flagged correctly. They'll initiate a chargeback process which typically resolves within a week or so. Keep your dispute reference number.",banking,True,B
bank-en-007,What's the minimum balance I need to keep in my savings account to avoid fees?,"Minimum balance varies by account type: basic/digital accounts often have no minimum, while standard savings may require $300-$500. Fees for falling below range from $5-$15/month. Check your specific account tier in the app or welcome materials.","It really depends on which account type you have. Digital-first or basic saver accounts usually have no minimum at all. Standard savings accounts often require $300-$500 — if you dip below, expect a monthly service fee of around $5-$15. The easiest way to check your specific threshold: look in the app under Account Details, or dig out the account terms from when you opened it. Some banks also waive the fee if you have direct deposit set up.",banking,False,
bank-en-008,I want to start investing in index funds. What's the minimum and how do I get started?,"Opening an investment account is required first. Index fund minimums vary: Vanguard starts at $1 for ETFs (via brokerage), Fidelity has $0 minimums for some funds. Use a tax-advantaged account (IRA or 401k) if investing for retirement.","Great time to start! The practical first step is opening a brokerage account — Fidelity and Schwab are often recommended for beginners because of their zero minimums and good educational tools. If you're investing for retirement, open a Roth IRA first and invest through that for the tax benefits. Pick a total market or S&P 500 index fund, set up automatic monthly contributions, and then mostly leave it alone. Consistency beats timing every time with index funds.",banking,True,B
bank-en-009,"I tried logging into online banking but it says invalid credentials, even though I'm sure my password is right.","Try a manual password reset — avoid using browser-saved passwords, as these are often outdated. If the reset email doesn't arrive, check spam. Consistent login failures after a reset may indicate account suspension.","Nine times out of ten it's the browser's fault, not yours — it fills in an old saved password that looks right but isn't. Try typing your password manually in an incognito window where no autofill kicks in. If that doesn't work, do a password reset — the link should arrive in under a minute (check spam). If you reset successfully and still can't get in, that's a signal to call support, as it might be an account status issue.",banking,False,
bank-en-010,How do I set up a recurring transfer to my savings account each month?,"Set up automatic transfers in the app: go to Transfers → Schedule → select your savings account as destination → set amount, frequency (monthly), and start date. You can edit or cancel at any time.","Automating your savings is honestly one of the best financial habits you can build! In the app, look for 'Transfers' then 'Scheduled' or 'Automatic.' Pick your savings account as the destination, set the amount, choose monthly frequency, and pick a date right after your paycheck typically lands. Once it's set up, the money moves before you even think about spending it.",banking,False,
