id,prompt,responseA,responseB,category,isGold,goldAnswer
bank-ph-001,Bakit di pa nag-a-update yung balance ko? Mag-2 hours na since I transferred.,"May delay ang system update — normal po yan, hanggang 24 hours. I-refresh nyo lang mamaya, pag wala pa, i-message nyo kami.","Hi! Minsan po nagde-delay ng konti ang system update — usually within 24 hours lang po ito. Refresh lang po ulit mamaya, pag wala pa, PM nyo lang kami.",banking,False,
bank-ph-002,Pwede bang i-increase ang limit ko sa GCash? Lagi kasing kulang pag nagpapadala ako.,To increase your GCash limit: open the app → tap 'Increase Limit' → upload a valid government ID. Approval takes 1-3 business days.,"Sure! Just go to your GCash app, find the 'Increase Limit' option (usually under your profile or wallet settings), and submit a valid ID. It's quick — most approvals come back within a day or two. Once done, your send and receive limits go up significantly.",banking,False,
bank-ph-003,"Na-lock yung account ko, paano ko ire-reset? Hindi ko na mareceive yung OTP.","Account lockouts usually happen after several failed login attempts. Reset your password via email link first. If you're still not receiving the OTP, your number may need re-verification — contact support directly.","That combo of a locked account plus no OTP is tricky! The most common fix: use the 'Forgot Password' flow and reset via your email instead of SMS. If the OTP still doesn't arrive after a few minutes, it might be a carrier delay — try requesting it again. If nothing works, customer support can manually verify you.",banking,True,B
bank-ph-004,Mag-transfer sana ako pero nag-e-error yung app. Sayang naman yung time ko.,"Force close the app, wait 1-2 minutes, then log back in. If the error persists, check the app's status page or social media for any ongoing maintenance notice.","Ugh, app errors at the worst time! First thing: fully close the app (swipe it away, don't just go to home screen) and reopen. If it's still erroring, check if there's a maintenance window — banks and e-wallets usually post these on their official Facebook page. If it's just you experiencing it, clearing your app cache sometimes helps.",banking,False,
bank-ph-005,Hanggang kelan ang processing time ng refund? 5 days na wala pa rin sa account ko.,"Ang refund ay 5-10 business days ang processing — depende sa payment method. I-monitor sa app, pag wala pa beyond 10 days, mag-follow up na.","Usually 5-7 business days po ang refund, pero minsan umaabot ng 10 days. I-track nyo na lang po sa app, pag wala pa by next week, follow up nyo lang kami.",banking,False,
bank-ph-006,Nag-deposit ako kanina sa ATM pero wala pang reflect. Normal ba to?,"Sa ATM deposit, may 1-2 business days na clearing period. I-check bukas — lalabas na yan. Kung wala pa rin, puntahan ang branch.","Normal po yan! Pag ATM deposit, may clearing time ng 1-2 days. I-check nyo na lang po ulit bukas, lalabas na yan.",banking,False,
bank-ph-007,"May hold yung pera ko, sabi ng 3-5 business days. Pwede bang i-fast track?","Fund holds are a security measure and cannot be expedited. Release is automatic within 3-5 business days. If you need urgent access, visit a branch with valid ID and transaction details.","I know holds are super frustrating when you need the money! Unfortunately, these are security checks and there's no way to speed them up remotely. Your best bet if it's truly urgent is to go to a physical branch — they sometimes have a bit more flexibility in person, especially if you can show proof of why you need the funds.",banking,False,
bank-ph-008,Hindi ko ma-access yung online banking ko. Sabi invalid credentials pero sure ako sa password ko.,"Try resetting your password — caps lock or a cached auto-fill may be the culprit. If the reset email doesn't arrive, check spam. Persistent issues after a reset usually indicate a server-side problem requiring support.","This happens more than you'd think! Most of the time it's a sneaky caps lock or an old saved password your browser is filling in. Try the password reset flow — it should send a link to your email in under a minute. If the email never shows up, check your spam folder. And if you reset successfully but still can't log in, that's when you escalate to their support team.",banking,True,B
bank-ph-009,Pwede bang mag-open ng savings account online? First time ko kasi at di ko alam ang process.,"Yes, account opening is fully online. Download the app → complete the KYC form → upload a valid ID and selfie → wait for approval (1-2 business days).","Great time to open one — it's all done from your phone now! Download the app, go through the 'Open Account' flow, and it'll walk you through each step. You'll need a valid government ID and a selfie for identity verification. The whole process takes maybe 10-15 minutes, and most accounts get approved within a business day.",banking,False,
bank-ph-010,"Nag-apply ako ng credit card last month, wala pa ring update. Rejected na ba to?","Ang credit card application ay may 2-3 weeks na evaluation period. I-monitor ang status sa app, pag may update, i-check din ang email.","Hindi po agad-agad ang credit card application. Usually 2-3 weeks po ang evaluation. I-check nyo na lang yung status sa app, tapos email nyo kami pag may update.",banking,False,
bank-ph-011,Ano yung maintaining balance ng BDO savings account? Baka ma-deductan ako eh.,"Maintaining balance depends on account type: P2,000-P3,000 for regular savings, P0 for Easy Saver. A fee of P300 is deducted monthly if you fall below the required amount.","Good question to ask before you find out the hard way! For a regular BDO savings account, you need to keep at least P2,000-P3,000 in there depending on the variant. If you drop below, they charge a monthly fee. But if maintaining a balance is a concern, check out the Easy Saver account — no maintaining balance required.",banking,False,
bank-ph-012,Na-deduct yung pera ko twice sa isang transaction. Paano mag-dispute?,File a transaction dispute: take a screenshot of both duplicate charges → contact support via app chat or hotline → submit within 30 days. Refunds typically process in 5-10 business days.,Double charge is always alarming! Grab a screenshot of your transaction history showing both charges — that's your evidence. Contact support and specifically say 'duplicate charge dispute' so it gets routed to the right team. Most banks resolve these within a week or two. Keep your reference number from the dispute report.,banking,False,
bank-ph-013,Gusto ko sana mag-invest sa UITF. Ano yung minimum amount at saan maganda mag-start?,"To start a UITF: open an investment account in the app → complete the risk assessment form → fund your account with a minimum of P10,000. Choose a fund type based on your risk tolerance.","UITFs are a great first investment! You can do everything in the app — look for an 'Invest' or 'UITF' section. You'll fill out a quick risk assessment (it just helps match you to the right fund type), then you can start with around P10,000. If you're unsure which fund to pick, a balanced or conservative fund is a safer starting point for first-timers.",banking,False,
